Fach 1;Lfd. Nr.;Fach 1;Fach 2;Datum / Uhrzeit;Kollisionen;Abstand
1_Wissen.--.11921050.--.192.--.IB;;;;Kein Datum gef;;
;1;1_Wissen.--.11921050.--.192.--.IB;Fremdsprache.--.11921120.--.192.--.IB;Kein Datum gef;1;
;2;1_Wissen.--.11921050.--.192.--.IB;3_Designgeschichte.--.11923055.--.192.--.IB;Kein Datum gef;3;
2_Wissen.--.11922060.--.192.--.IB;;;;Kein Datum gef;;
;1;2_Wissen.--.11922060.--.192.--.IB;3_Designgeschichte.--.11923055.--.192.--.IB;Kein Datum gef;1;
3_Designgeschichte.--.11923055.--.192.--.IB;;;;Kein Datum gef;;
;1;3_Designgeschichte.--.11923055.--.192.--.IB;1_Wissen.--.11921050.--.192.--.IB;Kein Datum gef;3;
;2;3_Designgeschichte.--.11923055.--.192.--.IB;Fremdsprache.--.11921120.--.192.--.IB;Kein Datum gef;18;
;3;3_Designgeschichte.--.11923055.--.192.--.IB;Vertragsrecht.--.11927440.--.192.--.IB;Kein Datum gef;2;
;4;3_Designgeschichte.--.11923055.--.192.--.IB;5_Kunstgeschichte.--.11925045.--.192.--.IB;Kein Datum gef;7;
;5;3_Designgeschichte.--.11923055.--.192.--.IB;2_Wissen.--.11922060.--.192.--.IB;Kein Datum gef;1;
5_Kunstgeschichte.--.11925045.--.192.--.IB;;;;Kein Datum gef;;
;1;5_Kunstgeschichte.--.11925045.--.192.--.IB;Fremdsprache.--.11921120.--.192.--.IB;Kein Datum gef;1;
;2;5_Kunstgeschichte.--.11925045.--.192.--.IB;3_Designgeschichte.--.11923055.--.192.--.IB;Kein Datum gef;7;
Abfallwirtschaft.--.622227050.--.222.--.IM;;;;Kein Datum gef;;
;1;Abfallwirtschaft.--.622227050.--.222.--.IM;Energie 3.--.622225010.--.222.--.IM;Kein Datum gef;3;
;2;Abfallwirtschaft.--.622227050.--.222.--.IM;Wasserversorgung 2 Schwerpunkt Energie und Wasser.--.17120.--.222.--.IM;Kein Datum gef;4;
;3;Abfallwirtschaft.--.622227050.--.222.--.IM;Bahntechnik.--.19100.--.222.--.IM;Kein Datum gef;5;
;4;Abfallwirtschaft.--.622227050.--.222.--.IM;Wirtschaftslehre 4.--.622226010.--.222.--.IM;Kein Datum gef;6;
;5;Abfallwirtschaft.--.622227050.--.222.--.IM;Wirtschaftslehre 5.--.622227010.--.222.--.IM;Kein Datum gef;19;
;6;Abfallwirtschaft.--.622227050.--.222.--.IM;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Kein Datum gef;11;
;7;Abfallwirtschaft.--.622227050.--.222.--.IM;Projektmanagement und -entwicklung 2.--.622223070.--.222.--.IM;Kein Datum gef;1;
;8;Abfallwirtschaft.--.622227050.--.222.--.IM;Verkehrsinfrastruktur 3.--.622226030.--.222.--.IM;Kein Datum gef;8;
;9;Abfallwirtschaft.--.622227050.--.222.--.IM;Recht 2.--.622227020.--.222.--.IM;Kein Datum gef;22;
;10;Abfallwirtschaft.--.622227050.--.222.--.IM;Siedlungswasserwirtschaft.--.622225030.--.222.--.IM;Kein Datum gef;2;
;11;Abfallwirtschaft.--.622227050.--.222.--.IM;Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;Kein Datum gef;1;
;12;Abfallwirtschaft.--.622227050.--.222.--.IM;Nachhaltigkeit, Umwelt, Verantwortung.--.622223010.--.222.--.IM;Kein Datum gef;1;
;13;Abfallwirtschaft.--.622227050.--.222.--.IM;International Relations.--.19290.--.222.--.IM;Kein Datum gef;1;
;14;Abfallwirtschaft.--.622227050.--.222.--.IM;Community Development Service Learning.--.19300.--.222.--.IM;Kein Datum gef;1;
;15;Abfallwirtschaft.--.622227050.--.222.--.IM;Brandschutz Projektmanagement.--.18100.--.222.--.IM;Kein Datum gef;15;
;16;Abfallwirtschaft.--.622227050.--.222.--.IM;Laborpraktikum im Straßenbauwesen.--.19170.--.222.--.IM;Kein Datum gef;3;
;17;Abfallwirtschaft.--.622227050.--.222.--.IM;Wasserfachliche Grundlagen.--.622223050.--.222.--.IM;Kein Datum gef;1;
;18;Abfallwirtschaft.--.622227050.--.222.--.IM;Internationaler ÖPNV.--.19130.--.222.--.IM;Kein Datum gef;5;
Abfallwirtschaft/-technik.--.17170.--.192.--.BB;;;;Kein Datum gef;;
;1;Abfallwirtschaft/-technik.--.17170.--.192.--.BB;Baubetriebsführung.--.601926050.--.192.--.BB;Kein Datum gef;1;
;2;Abfallwirtschaft/-technik.--.17170.--.192.--.BB;Lean Construction.--.601927030.--.192.--.BB;Kein Datum gef;8;
;3;Abfallwirtschaft/-technik.--.17170.--.192.--.BB;Nachhaltigkeitsmanagement.--.17270.--.192.--.BB;Kein Datum gef;4;
;4;Abfallwirtschaft/-technik.--.17170.--.192.--.BB;Wahlpflichtfach Baumanagement.--.601927050.--.192.--.BB;Kein Datum gef;7;
;5;Abfallwirtschaft/-technik.--.17170.--.192.--.BB;Planung und Konstruktion I.--.601926020.--.192.--.BB;Kein Datum gef;1;
;6;Abfallwirtschaft/-technik.--.17170.--.192.--.BB;Projektbasierte Produktion.--.601926030.--.192.--.BB;Kein Datum gef;1;
;7;Abfallwirtschaft/-technik.--.17170.--.192.--.BB;Innovative Bauverfahren im Straßenbau.--.17210.--.192.--.BB;Kein Datum gef;2;
;8;Abfallwirtschaft/-technik.--.17170.--.192.--.BB;Bauproduktionstechnik.--.601923060.--.192.--.BB;Kein Datum gef;1;
;9;Abfallwirtschaft/-technik.--.17170.--.192.--.BB;Baubetriebswirtschaft.--.601927020.--.192.--.BB;Kein Datum gef;8;
;10;Abfallwirtschaft/-technik.--.17170.--.192.--.BB;Baustatik I.--.601923010.--.192.--.BB;Kein Datum gef;1;
;11;Abfallwirtschaft/-technik.--.17170.--.192.--.BB;Baubetriebswirtschaft I.--.601926040.--.192.--.BB;Kein Datum gef;5;
Akustik im Gebäude.--.18100.--.222.--.GP;;;;Kein Datum gef;;
;1;Akustik im Gebäude.--.18100.--.222.--.GP;Theoretische Gebäudephysik.--.1010.--.222.--.GP;Kein Datum gef;7;
;2;Akustik im Gebäude.--.18100.--.222.--.GP;Gebäudemonitoring.--.21120.--.222.--.GP;Kein Datum gef;1;
;3;Akustik im Gebäude.--.18100.--.222.--.GP;Energiesysteme und Anlagentechnik.--.18130.--.222.--.GP;Kein Datum gef;8;
Algebra.--.17100.--.222.--.BAM;;;;Kein Datum gef;;
;1;Algebra.--.17100.--.222.--.BAM;Datenstrukturen und Algorithmen.--.1222224040.--.222.--.BAM;Kein Datum gef;1;
;2;Algebra.--.17100.--.222.--.BAM;Software Engineering.--.1222223020.--.222.--.BAM;Kein Datum gef;1;
;3;Algebra.--.17100.--.222.--.BAM;Stochastik.--.1222224020.--.222.--.BAM;Kein Datum gef;1;
;4;Algebra.--.17100.--.222.--.BAM;Numerik.--.1222223010.--.222.--.BAM;Kein Datum gef;1;
;5;Algebra.--.17100.--.222.--.BAM;Versicherungsbetriebslehre.--.1222223050.--.222.--.BAM;Kein Datum gef;1;
;6;Algebra.--.17100.--.222.--.BAM;Bankbetriebslehre.--.1222223060.--.222.--.BAM;Kein Datum gef;1;
;7;Algebra.--.17100.--.222.--.BAM;Datenbanksysteme.--.1222226010.--.222.--.BAM;Kein Datum gef;1;
;8;Algebra.--.17100.--.222.--.BAM;Funktionentheorie.--.1222225010.--.222.--.BAM;Kein Datum gef;1;
;9;Algebra.--.17100.--.222.--.BAM;Differentialgleichungen.--.1222226030.--.222.--.BAM;Kein Datum gef;1;
Algebra.--.17100.--.2223.--.BAM;;;;Kein Datum gef;;
;1;Algebra.--.17100.--.2223.--.BAM;Numerik.--.1222224050.--.2223.--.BAM;Kein Datum gef;1;
Algebra.--.17100.--.232.--.BAK;;;;Kein Datum gef;;
;1;Algebra.--.17100.--.232.--.BAK;Stochastik.--.1252323010.--.232.--.BAK;Kein Datum gef;4;
;2;Algebra.--.17100.--.232.--.BAK;Software Engineering.--.1252323030.--.232.--.BAK;Kein Datum gef;3;
Analysis 1.--.1252321010.--.232.--.BAK;;;;Kein Datum gef;;
;1;Analysis 1.--.1252321010.--.232.--.BAK;Lineare Algebra 1.--.1252321020.--.232.--.BAK;Kein Datum gef;18;
;2;Analysis 1.--.1252321010.--.232.--.BAK;Grundlagen Informatik 1.--.1252321030.--.232.--.BAK;Kein Datum gef;16;
;3;Analysis 1.--.1252321010.--.232.--.BAK;Analysis 2.--.1252322010.--.232.--.BAK;Kein Datum gef;1;
;4;Analysis 1.--.1252321010.--.232.--.BAK;Einführung in die Statistik.--.1252322040.--.232.--.BAK;Kein Datum gef;5;
;5;Analysis 1.--.1252321010.--.232.--.BAK;Lineare Algebra 2.--.1252322020.--.232.--.BAK;Kein Datum gef;4;
Analysis 1.--.1252321010.--.2323.--.BAK;;;;Kein Datum gef;;
;1;Analysis 1.--.1252321010.--.2323.--.BAK;Lineare Algebra 1.--.1252321020.--.2323.--.BAK;Kein Datum gef;2;
Analysis 2.--.1252322010.--.232.--.BAK;;;;Kein Datum gef;;
;1;Analysis 2.--.1252322010.--.232.--.BAK;Lineare Algebra 1.--.1252321020.--.232.--.BAK;Kein Datum gef;1;
;2;Analysis 2.--.1252322010.--.232.--.BAK;Grundlagen Informatik 1.--.1252321030.--.232.--.BAK;Kein Datum gef;2;
;3;Analysis 2.--.1252322010.--.232.--.BAK;Einführung in die Statistik.--.1252322040.--.232.--.BAK;Kein Datum gef;6;
;4;Analysis 2.--.1252322010.--.232.--.BAK;Analysis 1.--.1252321010.--.232.--.BAK;Kein Datum gef;1;
;5;Analysis 2.--.1252322010.--.232.--.BAK;Lineare Algebra 2.--.1252322020.--.232.--.BAK;Kein Datum gef;8;
Analysis 2.--.1252322010.--.2323.--.BAK;;;;Kein Datum gef;;
;1;Analysis 2.--.1252322010.--.2323.--.BAK;Einführung in die Statistik.--.1252322030.--.2323.--.BAK;Kein Datum gef;1;
;2;Analysis 2.--.1252322010.--.2323.--.BAK;Grundlagen Informatik 1.--.1252322020.--.2323.--.BAK;Kein Datum gef;1;
;3;Analysis 2.--.1252322010.--.2323.--.BAK;Lineare Algebra 2.--.1252323010.--.2323.--.BAK;Kein Datum gef;1;
Analysis 3.--.1222124010.--.212.--.MB;;;;Kein Datum gef;;
;1;Analysis 3.--.1222124010.--.212.--.MB;Differentialgleichungen.--.1222126030.--.212.--.MB;Kein Datum gef;1;
Analysis 3.--.1222224010.--.222.--.BAM;;;;Kein Datum gef;;
;1;Analysis 3.--.1222224010.--.222.--.BAM;Software Engineering.--.1222223020.--.222.--.BAM;Kein Datum gef;1;
;2;Analysis 3.--.1222224010.--.222.--.BAM;Numerik.--.1222223010.--.222.--.BAM;Kein Datum gef;1;
;3;Analysis 3.--.1222224010.--.222.--.BAM;Datenbanksysteme.--.1222226010.--.222.--.BAM;Kein Datum gef;1;
Angewandte Mathematik 2.--.22212010.--.221.--.KE;;;;Kein Datum gef;;
;1;Angewandte Mathematik 2.--.22212010.--.221.--.KE;Gebäudetechnik 1.--.22211030.--.221.--.KE;Kein Datum gef;1;
;2;Angewandte Mathematik 2.--.22212010.--.221.--.KE;Physikalische Grundlagen 2.--.22212020.--.221.--.KE;Kein Datum gef;11;
;3;Angewandte Mathematik 2.--.22212010.--.221.--.KE;Physikalische Grundlagen 1.--.22211020.--.221.--.KE;Kein Datum gef;1;
;4;Angewandte Mathematik 2.--.22212010.--.221.--.KE;Gebäudetechnik 2.--.22212030.--.221.--.KE;Kein Datum gef;10;
;5;Angewandte Mathematik 2.--.22212010.--.221.--.KE;Simulationswerkzeuge 1.--.22212040.--.221.--.KE;Kein Datum gef;5;
Angewandte Mathematik 3.--.3030.--.182.--.PB;;;;Kein Datum gef;;
;1;Angewandte Mathematik 3.--.3030.--.182.--.PB;Wärmeschutz 1.--.3020.--.182.--.PB;Kein Datum gef;11;
;2;Angewandte Mathematik 3.--.3030.--.182.--.PB;Energietechnik 1.--.3050.--.182.--.PB;Kein Datum gef;11;
;3;Angewandte Mathematik 3.--.3030.--.182.--.PB;Energietechnik 2.--.4050.--.182.--.PB;Kein Datum gef;1;
;4;Angewandte Mathematik 3.--.3030.--.182.--.PB;Wärmeschutz 2.--.4020.--.182.--.PB;Kein Datum gef;1;
;5;Angewandte Mathematik 3.--.3030.--.182.--.PB;Mathematik 4.--.4030.--.182.--.PB;Kein Datum gef;1;
;6;Angewandte Mathematik 3.--.3030.--.182.--.PB;Mathematik 2.--.2030.--.182.--.PB;Kein Datum gef;1;
;7;Angewandte Mathematik 3.--.3030.--.182.--.PB;Schallschutz 1.--.3010.--.182.--.PB;Kein Datum gef;11;
Arbeitsschutz.--.601925011.--.192.--.BB;;;;Kein Datum gef;;
;1;Arbeitsschutz.--.601925011.--.192.--.BB;Wasserwirtschaft und Wasserbau I.--.601924060.--.192.--.BB;Kein Datum gef;28;
;2;Arbeitsschutz.--.601925011.--.192.--.BB;Stahlbau I.--.601923030.--.192.--.BB;Kein Datum gef;3;
;3;Arbeitsschutz.--.601925011.--.192.--.BB;Geotechnik II.--.601923020.--.192.--.BB;Kein Datum gef;4;
;4;Arbeitsschutz.--.601925011.--.192.--.BB;Siedlungswasserwirtschaft I.--.601924050.--.192.--.BB;Kein Datum gef;24;
;5;Arbeitsschutz.--.601925011.--.192.--.BB;Stahlbetonbau I.--.601924020.--.192.--.BB;Kein Datum gef;20;
;6;Arbeitsschutz.--.601925011.--.192.--.BB;Ingenieurholzbau I.--.601924030.--.192.--.BB;Kein Datum gef;25;
;7;Arbeitsschutz.--.601925011.--.192.--.BB;Geotechnik III.--.601924010.--.192.--.BB;Kein Datum gef;27;
;8;Arbeitsschutz.--.601925011.--.192.--.BB;Verkehrswesen II.--.601924040.--.192.--.BB;Kein Datum gef;24;
;9;Arbeitsschutz.--.601925011.--.192.--.BB;Baustatik I.--.601923010.--.192.--.BB;Kein Datum gef;14;
;10;Arbeitsschutz.--.601925011.--.192.--.BB;Bauproduktionstechnik.--.601923060.--.192.--.BB;Kein Datum gef;4;
;11;Arbeitsschutz.--.601925011.--.192.--.BB;Wasserwesen.--.601923050.--.192.--.BB;Kein Datum gef;1;
;12;Arbeitsschutz.--.601925011.--.192.--.BB;Baubetriebsplanung.--.601924070.--.192.--.BB;Kein Datum gef;20;
Arbeitsschutz.--.622224010.--.222.--.IM;;;;Kein Datum gef;;
;1;Arbeitsschutz.--.622224010.--.222.--.IM;Energie 2 - Netzgebundene Energien.--.622223020.--.222.--.IM;Kein Datum gef;19;
;2;Arbeitsschutz.--.622224010.--.222.--.IM;Wirtschaftslehre 2.--.622223080.--.222.--.IM;Kein Datum gef;21;
;3;Arbeitsschutz.--.622224010.--.222.--.IM;Verkehrsinfrastruktur 2.--.622223060.--.222.--.IM;Kein Datum gef;19;
;4;Arbeitsschutz.--.622224010.--.222.--.IM;Wirtschaftslehre 5.--.622227010.--.222.--.IM;Kein Datum gef;1;
;5;Arbeitsschutz.--.622224010.--.222.--.IM;Physik für Ingenieure.--.622221040.--.222.--.IM;Kein Datum gef;2;
;6;Arbeitsschutz.--.622224010.--.222.--.IM;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;Kein Datum gef;1;
;7;Arbeitsschutz.--.622224010.--.222.--.IM;Projektmanagement und -entwicklung 2.--.622223070.--.222.--.IM;Kein Datum gef;18;
;8;Arbeitsschutz.--.622224010.--.222.--.IM;Projektmanagement und -entwicklung 3.--.622225020.--.222.--.IM;Kein Datum gef;1;
;9;Arbeitsschutz.--.622224010.--.222.--.IM;Recht 1.--.622223040.--.222.--.IM;Kein Datum gef;20;
;10;Arbeitsschutz.--.622224010.--.222.--.IM;Baustoffe u. Geotechnik 2.--.622222020.--.222.--.IM;Kein Datum gef;5;
;11;Arbeitsschutz.--.622224010.--.222.--.IM;Verkehrsinfrastruktur 3.--.622226030.--.222.--.IM;Kein Datum gef;1;
;12;Arbeitsschutz.--.622224010.--.222.--.IM;Recht 2.--.622227020.--.222.--.IM;Kein Datum gef;1;
;13;Arbeitsschutz.--.622224010.--.222.--.IM;Wirtschaftslehre 1.--.622221050.--.222.--.IM;Kein Datum gef;3;
;14;Arbeitsschutz.--.622224010.--.222.--.IM;Wirtschaftsenglisch.--.622223092.--.222.--.IM;Kein Datum gef;20;
;15;Arbeitsschutz.--.622224010.--.222.--.IM;Mathematik 2.--.622222010.--.222.--.IM;Kein Datum gef;10;
;16;Arbeitsschutz.--.622224010.--.222.--.IM;Nachhaltigkeit, Umwelt, Verantwortung.--.622223010.--.222.--.IM;Kein Datum gef;20;
;17;Arbeitsschutz.--.622224010.--.222.--.IM;Projektmanagement und -entwicklung 1.--.622222050.--.222.--.IM;Kein Datum gef;2;
;18;Arbeitsschutz.--.622224010.--.222.--.IM;Wirtschaftslehre 3.--.622225040.--.222.--.IM;Kein Datum gef;2;
;19;Arbeitsschutz.--.622224010.--.222.--.IM;Informations- und Kommunikationstechnik.--.622223030.--.222.--.IM;Kein Datum gef;21;
;20;Arbeitsschutz.--.622224010.--.222.--.IM;Wasserfachliche Grundlagen.--.622223050.--.222.--.IM;Kein Datum gef;19;
;21;Arbeitsschutz.--.622224010.--.222.--.IM;Laborpraktikum im Straßenbauwesen.--.19170.--.222.--.IM;Kein Datum gef;1;
Arbeitsschutz.--.642014060.--.201.--.WBI;;;;Kein Datum gef;;
;1;Arbeitsschutz.--.642014060.--.201.--.WBI;Schlüsselfertigbau.--.642014050.--.201.--.WBI;Kein Datum gef;11;
;2;Arbeitsschutz.--.642014060.--.201.--.WBI;Baumanagement III.--.642014030.--.201.--.WBI;Kein Datum gef;10;
;3;Arbeitsschutz.--.642014060.--.201.--.WBI;Baustatik.--.642013030.--.201.--.WBI;Kein Datum gef;3;
;4;Arbeitsschutz.--.642014060.--.201.--.WBI;Baumanagement II.--.642013040.--.201.--.WBI;Kein Datum gef;2;
;5;Arbeitsschutz.--.642014060.--.201.--.WBI;Baukonstruktion und Brandschutz.--.642013020.--.201.--.WBI;Kein Datum gef;3;
;6;Arbeitsschutz.--.642014060.--.201.--.WBI;Konstruktiver Ingenieurbau.--.642014010.--.201.--.WBI;Kein Datum gef;10;
